season,week,home_team,away_team,home_points,away_points,neutral_site,home_conference,away_conference
2023,9,East Stroudsburg University,Shippensburg,41.0,17.0,False,Pennsylvania State Athletic,Pennsylvania State Athletic
2023,9,University of Mount Union,Otterbein,51.0,14.0,False,Ohio,Ohio
2023,9,Heidelberg,Wilmington (OH),49.0,35.0,False,Ohio,Ohio
2023,9,Mount St. Joseph,Franklin,55.0,0.0,False,Heartland,Heartland
2023,9,Manchester,Defiance College,27.0,51.0,False,Heartland,Heartland
2023,9,John Carroll University,Muskingum University,42.0,13.0,False,Ohio,Ohio
2023,9,VMI,Chattanooga,23.0,24.0,False,Southern,Southern
2023,9,Anderson (IN),Bluffton,7.0,45.0,False,Heartland,Heartland
2023,9,Gardner-Webb,UT Martin,38.0,34.0,False,Big South-OVC,Big South-OVC
2023,9,Baldwin Wallace,Capital,59.0,35.0,False,Ohio,Ohio
